NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL
Class,Field,Name,Class,Field,Name,Name,Notes
WorldClient,*,field_1055_D,*,*,*,field_1055_D,""
World,*,field_1056_C,*,*,*,scheduledTickSet,""
WorldClient,*,field_1057_z,*,*,*,field_1057_z,""
World,*,field_1058_B,*,*,*,scheduledTickTreeSet,""
ChunkCache,*,field_1059_b,*,*,*,chunkZ,""
ChunkCache,*,field_1060_a,*,*,*,chunkX,""
ChunkCache,*,field_1061_d,*,*,*,worldObj,"Reference to the World object."
ChunkCache,*,field_1062_c,*,*,*,chunkArray,""
NetworkWriterThread,*,field_1063_a,*,*,*,netManager,"Reference to the NetworkManager object."
PlayerController,*,field_1064_b,*,*,*,field_1064_b,""
PlayerController,*,field_1065_a,*,*,*,mc,"A reference to the Minecraft object."
PlayerControllerSP,*,field_1068_i,*,*,*,field_1068_i,""
PlayerControllerSP,*,field_1069_h,*,*,*,field_1069_h,""
PlayerControllerSP,*,field_1070_g,*,*,*,prevBlockDamage,""
PlayerControllerSP,*,field_1071_f,*,*,*,curBlockDamage,""
PlayerControllerSP,*,field_1072_e,*,*,*,field_1072_e,""
PlayerControllerSP,*,field_1073_d,*,*,*,field_1073_d,""
PlayerControllerSP,*,field_1074_c,*,*,*,field_1074_c,""
PlayerControllerMP,*,field_1075_l,*,*,*,field_1075_l,""
PlayerControllerMP,*,field_1080_g,*,*,*,field_1080_g,""
NetworkReaderThread,*,field_1085_a,*,*,*,netManager,"Reference to the NetworkManager object."
NetworkMasterThread,*,field_1086_a,*,*,*,netManager,"Reference to the NetworkManager object."
NBTBase,*,field_1087_a,*,*,*,key,"The UTF string key used to lookup values."
NBTTagShort,*,field_1088_a,*,*,*,shortValue,"The short value for the tag."
NBTTagDouble,*,field_1089_a,*,*,*,doubleValue,"The double value for the tag."
NBTTagList,*,field_1090_b,*,*,*,tagType,"The type byte for the tags in the list - they must all be of the same type."
NBTTagList,*,field_1091_a,*,*,*,tagList,"The array list containing the tags encapsulated in this list."
NBTTagByte,*,field_1092_a,*,*,*,byteValue,"The byte value for the tag."
NBTTagInt,*,field_1093_a,*,*,*,intValue,"The integer value for the tag."
NBTTagCompound,*,field_1094_a,*,*,*,tagMap,"The key-value pairs for the tag. Each key is a UTF string, each value is a tag."
NBTTagLong,*,field_1095_a,*,*,*,longValue,"The long value for the tag."
NBTTagByteArray,*,field_1096_a,*,*,*,byteArray,"The byte array stored in the tag."
NBTTagFloat,*,field_1097_a,*,*,*,floatValue,"The float value for the tag."
NBTTagString,*,field_1098_a,*,*,*,stringValue,"The string value for the tag (cannot be empty)."
RecipesWeapons,*,field_1099_b,*,*,*,recipeItems,""
RecipesWeapons,*,field_1100_a,*,*,*,recipePatterns,""
ThreadConnectToServer,*,field_1101_b,*,*,*,hostName,"A reference to the Minecraft object."
ThreadConnectToServer,*,field_1102_a,*,*,*,mc,"A reference to the Minecraft object."
ThreadConnectToServer,*,field_1103_d,*,*,*,connectingGui,"A reference to the GuiConnecting object."
ThreadConnectToServer,*,field_1104_c,*,*,*,port,"A reference to the Minecraft object."
HashEntry,*,field_1105_b,*,*,*,valueEntry,"The object stored in this entry"
HashEntry,*,field_1106_a,*,*,*,hashEntry,"The hash code of this entry"
HashEntry,*,field_1107_d,*,*,*,slotHash,"The id of the hash slot computed from the hash"
HashEntry,*,field_1108_c,*,*,*,nextEntry,"The next entry in this slot"
NibbleArray,*,field_1109_a,*,*,*,data,"Byte array of data stored in this holder. Possibly a light map or some chunk data. Data is accessed in 4-bit pieces."
ChunkPosition,*,field_1110_b,*,*,*,y,"The y coordinate of this ChunkPosition"
ChunkPosition,*,field_1111_a,*,*,*,x,"The x coordinate of this ChunkPosition"
ChunkPosition,*,field_1112_c,*,*,*,z,"The z coordinate of this ChunkPosition"
MouseHelper,*,field_1113_b,*,*,*,deltaY,"Mouse delta Y this frame"
MouseHelper,*,field_1114_a,*,*,*,deltaX,"Mouse delta X this frame"
MouseHelper,*,field_1115_e,*,*,*,field_1115_e,""
MouseHelper,*,field_1116_d,*,*,*,cursor,""
MouseHelper,*,field_1117_c,*,*,*,field_1117_c,""
Slot,*,field_1118_b,*,*,*,inventory,"The inventory we want to extract a slot from."
Slot,*,field_1119_a,*,*,*,slotIndex,"The index of the slot in the inventory."
SlotArmor,*,field_1123_d,*,*,*,inventory,"The inventory we want to extract a slot from."
SlotArmor,*,field_1124_c,*,*,*,armorType,"The armor type that can be placed on that slot, it uses the same values of armorType field on ItemArmor."
SlotCrafting,*,field_1125_c,*,*,*,craftMatrix,"The craft matrix inventory linked to this result slot."
TextureFX,*,field_1126_b,*,*,*,iconIndex,""
TextureFX,*,field_1127_a,*,*,*,imageData,""
TextureFX,*,field_1128_f,*,*,*,tileImage,""
TextureFX,*,field_1129_e,*,*,*,tileSize,""
TextureFX,*,field_1130_d,*,*,*,field_1130_d,""
TextureFX,*,field_1131_c,*,*,*,anaglyphEnabled,""
TextureFlamesFX,*,field_1132_h,*,*,*,field_1132_h,""
TextureFlamesFX,*,field_1133_g,*,*,*,field_1133_g,""
TexureWaterFlowFX,*,field_1134_k,*,*,*,field_1134_k,""
TexureWaterFlowFX,*,field_1135_j,*,*,*,field_1135_j,""
TexureWaterFlowFX,*,field_1136_i,*,*,*,field_1136_i,""
TexureWaterFlowFX,*,field_1137_h,*,*,*,field_1137_h,""
TexureWaterFlowFX,*,field_1138_g,*,*,*,field_1138_g,""
TextureLavaFlowFX,*,field_1139_k,*,*,*,field_1139_k,""
TextureLavaFlowFX,*,field_1140_j,*,*,*,field_1140_j,""
TextureLavaFlowFX,*,field_1141_i,*,*,*,field_1141_i,""
TextureLavaFlowFX,*,field_1142_h,*,*,*,field_1142_h,""
TextureLavaFlowFX,*,field_1143_g,*,*,*,field_1143_g,""
TextureLavaFX,*,field_1144_j,*,*,*,field_1144_j,""
TextureLavaFX,*,field_1145_i,*,*,*,field_1145_i,""
TextureLavaFX,*,field_1146_h,*,*,*,field_1146_h,""
TextureLavaFX,*,field_1147_g,*,*,*,field_1147_g,""
TextureWaterFX,*,field_1154_k,*,*,*,tickCounter,""
TextureWaterFX,*,field_1155_j,*,*,*,field_1155_j,""
TextureWaterFX,*,field_1156_i,*,*,*,field_1156_i,""
TextureWaterFX,*,field_1157_h,*,*,*,field_1157_h,""
TextureWaterFX,*,field_1158_g,*,*,*,field_1158_g,""
MinecartTrackLogic,*,field_1159_b,*,*,*,worldObj,"Reference to the World object."
MinecartTrackLogic,*,field_1160_a,*,*,*,minecartTrack,""
MinecartTrackLogic,*,field_1161_g,*,*,*,connectedTracks,""
MinecartTrackLogic,*,field_1162_f,*,*,*,trackMetadata,""
MinecartTrackLogic,*,field_1163_e,*,*,*,trackZ,""
MinecartTrackLogic,*,field_1164_d,*,*,*,trackY,""
MinecartTrackLogic,*,field_1165_c,*,*,*,trackX,""
MovingObjectPosition,*,field_1166_b,*,*,*,blockX,"x coordinate of the block ray traced against"
MovingObjectPosition,*,field_1167_a,*,*,*,typeOfHit,"What type of ray trace hit was this? 0 = block, 1 = entity"
MovingObjectPosition,*,field_1168_g,*,*,*,entityHit,"The hit entity"
MovingObjectPosition,*,field_1169_f,*,*,*,hitVec,"The vector position of the hit"
MovingObjectPosition,*,field_1170_e,*,*,*,sideHit,"Which side was hit. If its -1 then it went the full length of the ray trace. Bottom = 0, Top = 1, East = 2, West = 3, North = 4, South = 5."
MovingObjectPosition,*,field_1171_d,*,*,*,blockZ,"z coordinate of the block ray traced against"
MovingObjectPosition,*,field_1172_c,*,*,*,blockY,"y coordinate of the block ray traced against"
MovementInput,*,field_1173_b,*,*,*,moveForward,"The speed at which the player is moving forward. Negative numbers will move backwards."
MovementInput,*,field_1174_a,*,*,*,moveStrafe,"The speed at which the player is strafing. Postive numbers to the left and negative to the right."
MovementInput,*,field_1175_e,*,*,*,sneak,""
MovementInput,*,field_1176_d,*,*,*,jump,""
MovementInput,*,field_1177_c,*,*,*,field_1177_c,""
MovementInputFromOptions,*,field_1178_g,*,*,*,gameSettings,""
MovementInputFromOptions,*,field_1179_f,*,*,*,movementKeyStates,""
TerrainTextureManager,*,field_1180_b,*,*,*,field_1180_b,""
TerrainTextureManager,*,field_1181_a,*,*,*,field_1181_a,""
TerrainTextureManager,*,field_1182_g,*,*,*,field_1182_g,""
TerrainTextureManager,*,field_1183_f,*,*,*,field_1183_f,""
TerrainTextureManager,*,field_1184_e,*,*,*,field_1184_e,""
TerrainTextureManager,*,field_1185_d,*,*,*,field_1185_d,""
TerrainTextureManager,*,field_1186_c,*,*,*,field_1186_c,""
NoiseGeneratorPerlin,*,field_1187_b,*,*,*,yCoord,""
NoiseGeneratorPerlin,*,field_1188_a,*,*,*,xCoord,""
NoiseGeneratorPerlin,*,field_1189_d,*,*,*,permutations,""
NoiseGeneratorPerlin,*,field_1190_c,*,*,*,zCoord,""
NoiseGeneratorOctaves,*,field_1191_b,*,*,*,field_1191_b,""
NoiseGeneratorOctaves,*,field_1192_a,*,*,*,generatorCollection,"Collection of noise generation functions.  Output is combined to produce different octaves of noise."
OsMap,*,field_1193_a,*,*,*,field_1193_a,""
TexturedQuad,*,field_1194_b,*,*,*,nVertices,""
TexturedQuad,*,field_1195_a,*,*,*,vertexPositions,""
TexturedQuad,*,field_1196_c,*,*,*,invertNormal,""
ThreadRunIsoClient,*,field_1197_a,*,*,*,isoCanvas,""
RecipesIngots,*,field_1198_a,*,*,*,recipeItems,""
ChunkLoader,*,field_1199_b,*,*,*,createIfNecessary,"If true, ChunkLoader will create the needed directories and file for a chunk. (true for WorldProvider, WorldProviderHell; false for WorldProviderIso)"
ChunkLoader,*,field_1200_a,*,*,*,saveDir,"The root directory from where the chunks are saved (this will be the World1-5 dirs)"
WorldBlockPositionType,*,field_1201_b,*,*,*,field_1201_b,""
WorldBlockPositionType,*,field_1202_a,*,*,*,field_1202_a,""
WorldBlockPositionType,*,field_1203_g,*,*,*,field_1203_g,""
WorldBlockPositionType,*,field_1204_f,*,*,*,field_1204_f,""
WorldBlockPositionType,*,field_1205_e,*,*,*,field_1205_e,""
WorldBlockPositionType,*,field_1206_d,*,*,*,field_1206_d,""
WorldBlockPositionType,*,field_1207_c,*,*,*,field_1207_c,""
NetClientHandler,*,field_1208_b,*,*,*,rand,"RNG."
NetClientHandler,*,field_1209_a,*,*,*,field_1209_a,""
NetClientHandler,*,field_1210_g,*,*,*,field_1210_g,""
NetClientHandler,*,field_1211_f,*,*,*,worldClient,""
NetClientHandler,*,field_1212_e,*,*,*,mc,"Reference to the Minecraft object."
NetClientHandler,*,field_1213_d,*,*,*,netManager,"Reference to the NetworkManager object."
NetClientHandler,*,field_1214_c,*,*,*,disconnected,"True if kicked or disconnected from the server."
ThreadDownloadImage,*,field_1215_b,*,*,*,buffer,"The image buffer to use."
ThreadDownloadImage,*,field_1216_a,*,*,*,location,"The URL of the image to download."
ThreadDownloadImage,*,field_1217_c,*,*,*,imageData,"The image data."
RenderManager,*,field_1218_p,*,*,*,fontRenderer,"Renders fonts"
RenderManager,*,field_1220_n,*,*,*,field_1220_n,""
RenderManager,*,field_1221_m,*,*,*,field_1221_m,""
RenderManager,*,field_1222_l,*,*,*,field_1222_l,""
Packet60,*,field_12235_b,*,*,*,explosionY,""
Packet60,*,field_12236_a,*,*,*,explosionX,""
Packet60,*,field_12237_e,*,*,*,destroyedBlockPositions,""
Packet60,*,field_12238_d,*,*,*,explosionSize,""
Packet60,*,field_12239_c,*,*,*,explosionZ,""
RenderManager,*,field_1223_k,*,*,*,options,"Reference to the GameSettings object."
EntityClientPlayerMP,*,field_12242_bI,*,*,*,field_12242_bI,""
Explosion,*,field_12249_i,*,*,*,worldObj,""
RenderManager,*,field_1224_j,*,*,*,playerViewX,""
Explosion,*,field_12250_h,*,*,*,ExplosionRNG,""
Explosion,*,field_12251_g,*,*,*,destroyedBlockPositions,""
Explosion,*,field_12252_f,*,*,*,explosionSize,""
Explosion,*,field_12253_e,*,*,*,exploder,""
Explosion,*,field_12254_d,*,*,*,explosionZ,""
Explosion,*,field_12255_c,*,*,*,explosionY,""
Explosion,*,field_12256_b,*,*,*,explosionX,""
Explosion,*,field_12257_a,*,*,*,field_12257_a,""
NetworkManager,*,field_12258_e,*,*,*,networkSocket,"The socket used by this network manager."
GameSettings,*,field_12259_z,*,*,*,lastServer,"The lastServer string."
RenderManager,*,field_1225_i,*,*,*,playerViewY,""
RenderManager,*,field_1227_g,*,*,*,worldObj,"Reference to the World object."
RenderManager,*,field_1229_e,*,*,*,renderEngine,""
RenderManager,*,field_1230_d,*,*,*,renderPosZ,""
RenderManager,*,field_1231_c,*,*,*,renderPosY,""
RenderManager,*,field_1232_b,*,*,*,renderPosX,""
RenderManager,*,field_1233_a,*,*,*,instance,"The static instance of RenderManager."
RenderList,*,field_1234_i,*,*,*,field_1234_i,""
RenderList,*,field_1235_h,*,*,*,field_1235_h,""
RenderList,*,field_1236_g,*,*,*,field_1236_g,""
RenderList,*,field_1237_f,*,*,*,field_1237_f,""
RenderList,*,field_1238_e,*,*,*,field_1238_e,""
RenderList,*,field_1239_d,*,*,*,field_1239_d,""
RenderList,*,field_1240_c,*,*,*,field_1240_c,""
RenderList,*,field_1241_b,*,*,*,field_1241_b,""
RenderList,*,field_1242_a,*,*,*,field_1242_a,""
ModelBase,*,field_1243_l,*,*,*,isRiding,""
ModelBase,*,field_1244_k,*,*,*,onGround,""
ModelSpider,*,field_1245_m,*,*,*,field_1245_m,""
ModelSpider,*,field_1246_j,*,*,*,field_1246_j,""
ModelSpider,*,field_1247_i,*,*,*,field_1247_i,""
ModelSpider,*,field_1248_h,*,*,*,field_1248_h,""
ModelSpider,*,field_1249_g,*,*,*,field_1249_g,""
ModelSpider,*,field_1250_f,*,*,*,field_1250_f,""
ModelSpider,*,field_1251_e,*,*,*,field_1251_e,""
ModelSpider,*,field_1252_d,*,*,*,field_1252_d,""
ModelSpider,*,field_1253_c,*,*,*,field_1253_c,""
ModelSpider,*,field_1254_b,*,*,*,field_1254_b,""
ModelSpider,*,field_1255_a,*,*,*,field_1255_a,""
ModelMinecart,*,field_1256_a,*,*,*,sideModels,""
ModelSlime,*,field_1257_b,*,*,*,field_1257_b,""
ModelSlime,*,field_1258_a,*,*,*,field_1258_a,""
ModelSlime,*,field_1259_d,*,*,*,field_1259_d,""
ModelSlime,*,field_1260_c,*,*,*,field_1260_c,""
ModelQuadraped,*,field_1261_i,*,*,*,leg4,""
ModelQuadraped,*,field_1262_h,*,*,*,leg3,""
ModelQuadraped,*,field_1263_g,*,*,*,leg2,""
ModelQuadraped,*,field_1264_f,*,*,*,leg1,""
ModelQuadraped,*,field_1265_e,*,*,*,body,""
ModelQuadraped,*,field_1266_d,*,*,*,head,""
ModelCow,*,field_1267_b,*,*,*,horn1,""
ModelCow,*,field_1268_a,*,*,*,udders,""
ModelCow,*,field_1269_c,*,*,*,horn2,""
ModelCreeper,*,field_1270_b,*,*,*,field_1270_b,""
ModelCreeper,*,field_1271_a,*,*,*,head,""
ModelCreeper,*,field_1272_g,*,*,*,leg4,""
ModelCreeper,*,field_1273_f,*,*,*,leg3,""
ModelCreeper,*,field_1274_e,*,*,*,leg2,""
ModelCreeper,*,field_1275_d,*,*,*,leg1,""
ModelCreeper,*,field_1276_c,*,*,*,body,""
ModelBiped,*,field_1277_j,*,*,*,isSneak,""
ModelBiped,*,field_1278_i,*,*,*,field_1278_i,""
ModelBiped,*,field_1279_h,*,*,*,field_1279_h,""
ModelBiped,*,field_1280_g,*,*,*,bipedLeftLeg,""
ModelBiped,*,field_1281_f,*,*,*,bipedRightLeg,""
ModelBiped,*,field_1282_e,*,*,*,bipedLeftArm,""
ModelBiped,*,field_1283_d,*,*,*,bipedRightArm,""
ModelBiped,*,field_1284_c,*,*,*,bipedBody,""
ModelBiped,*,field_1285_b,*,*,*,bipedHeadwear,""
ModelBiped,*,field_1286_a,*,*,*,bipedHead,""
ModelBoat,*,field_1287_a,*,*,*,boatSides,""
ModelChicken,*,field_1288_b,*,*,*,body,""
ModelChicken,*,field_1289_a,*,*,*,head,""
ModelChicken,*,field_1290_h,*,*,*,chin,""
ModelChicken,*,field_1291_g,*,*,*,bill,""
ModelChicken,*,field_1292_f,*,*,*,leftWing,""
ModelChicken,*,field_1293_e,*,*,*,rightWing,""
ModelChicken,*,field_1294_d,*,*,*,leftLeg,""
ModelChicken,*,field_1295_c,*,*,*,rightLeg,""
ChatLine,*,field_1296_b,*,*,*,updateCounter,"Counts the number of screen updates."
ChatLine,*,field_1297_a,*,*,*,message,"The chat message."
MetadataChunkBlock,*,field_1298_b,*,*,*,field_1298_b,""
MetadataChunkBlock,*,field_1299_a,*,*,*,field_1299_a,""
MetadataChunkBlock,*,field_1300_g,*,*,*,field_1300_g,""
MetadataChunkBlock,*,field_1301_f,*,*,*,field_1301_f,""
MetadataChunkBlock,*,field_1302_e,*,*,*,field_1302_e,""
MetadataChunkBlock,*,field_1303_d,*,*,*,field_1303_d,""
MetadataChunkBlock,*,field_1304_c,*,*,*,field_1304_c,""
MapGenBase,*,field_1305_b,*,*,*,rand,"The RNG used by the MapGen classes."
MapGenBase,*,field_1306_a,*,*,*,field_1306_a,""
FontRenderer,*,field_1307_b,*,*,*,charWidth,"Array of width of all the characters in default.png"
FontRenderer,*,field_1308_a,*,*,*,fontTextureName,""
FontRenderer,*,field_1309_d,*,*,*,buffer,""
FontRenderer,*,field_1310_c,*,*,*,fontDisplayLists,""
Material,*,field_1316_v,*,*,*,clay,""
Material,*,field_1317_u,*,*,*,cactus,""
Material,*,field_1318_t,*,*,*,builtSnow,""
Material,*,field_1319_s,*,*,*,snow,""
Material,*,field_1320_r,*,*,*,ice,""
Material,*,field_1322_p,*,*,*,tnt,""
Material,*,field_1324_n,*,*,*,circuits,""
Material,*,field_1325_m,*,*,*,sand,""
Material,*,field_1326_l,*,*,*,fire,""
Material,*,field_1328_j,*,*,*,sponge,""
Material,*,field_1329_i,*,*,*,plants,""
Material,*,field_1331_g,*,*,*,lava,""
Material,*,field_1332_f,*,*,*,water,""
Material,*,field_1333_e,*,*,*,iron,""
Material,*,field_1334_d,*,*,*,rock,""
Material,*,field_1335_c,*,*,*,wood,""
Material,*,field_1336_b,*,*,*,ground,""
Material,*,field_1337_a,*,*,*,air,""
ImageBufferDownload,*,field_1342_b,*,*,*,imageWidth,""
ImageBufferDownload,*,field_1343_a,*,*,*,imageData,""
ImageBufferDownload,*,field_1344_c,*,*,*,imageHeight,""
SignModel,*,field_1345_b,*,*,*,field_1345_b,""
SignModel,*,field_1346_a,*,*,*,field_1346_a,""
IsoImageBuffer,*,field_1347_b,*,*,*,worldObj,"Reference to the World object."
IsoImageBuffer,*,field_1348_a,*,*,*,field_1348_a,""
IsoImageBuffer,*,field_1349_h,*,*,*,field_1349_h,""
IsoImageBuffer,*,field_1350_g,*,*,*,field_1350_g,""
IsoImageBuffer,*,field_1351_f,*,*,*,field_1351_f,""
IsoImageBuffer,*,field_1352_e,*,*,*,field_1352_e,""
IsoImageBuffer,*,field_1353_d,*,*,*,field_1353_d,""
IsoImageBuffer,*,field_1354_c,*,*,*,field_1354_c,""
ItemRenderer,*,field_1356_a,*,*,*,mc,"A reference to the Minecraft object."
ItemRenderer,*,field_1357_e,*,*,*,renderBlocksInstance,"Instance of RenderBlocks."
NextTickListEntry,*,field_1360_b,*,*,*,yCoord,"Y position this tick is occuring at"
NextTickListEntry,*,field_1361_a,*,*,*,xCoord,"X position this tick is occuring at"
NextTickListEntry,*,field_1362_g,*,*,*,tickEntryID,"The id of the tick entry"
NextTickListEntry,*,field_1363_f,*,*,*,nextTickEntryID,"The id number for the next tick entry"
NextTickListEntry,*,field_1364_e,*,*,*,scheduledTime,"Time this tick is scheduled to occur at"
NextTickListEntry,*,field_1365_d,*,*,*,blockID,"blockID of the scheduled tick (ensures when the tick occurs its still for this block)"
NextTickListEntry,*,field_1366_c,*,*,*,zCoord,"Z position this tick is occuring at"
ScaledResolution,*,field_1367_b,*,*,*,scaledWidth,""
ScaledResolution,*,field_1368_a,*,*,*,scaleFactor,""
ScaledResolution,*,field_1369_c,*,*,*,scaledHeight,""
KeyBinding,*,field_1370_b,*,*,*,keyCode,""
KeyBinding,*,field_1371_a,*,*,*,keyDescription,""
Timer,*,field_1372_i,*,*,*,timeSyncAdjustment,"A ratio used to sync the high-resolution clock to the system clock, updated once per second"
Timer,*,field_1373_h,*,*,*,lastSyncHRClock,"The time reported by the high-resolution clock at the last sync, in milliseconds"
Timer,*,field_1374_g,*,*,*,lastSyncSysClock,"The time reported by the system clock at the last sync, in milliseconds"
Timer,*,field_1375_f,*,*,*,lastHRTime,"The time reported by the high-resolution clock at the last call of updateTimer(), in seconds"
Timer,*,field_1376_e,*,*,*,elapsedPartialTicks,"How much time has elapsed since the last tick, in ticks (range: 0.0 - 1.0)."
Timer,*,field_1377_d,*,*,*,timerSpeed,"A multiplier to make the timer (and therefore the game) go faster or slower.  0.5 makes the game run at half-speed."
Timer,*,field_1378_c,*,*,*,renderPartialTicks,"How much time has elapsed since the last tick, in ticks, for use by display rendering routines (range: 0.0 - 1.0).  This field is frozen if the display is paused to eliminate jitter."
Timer,*,field_1379_b,*,*,*,elapsedTicks,"How many full ticks have turned over since the last call to updateTimer(), capped at 10."
Timer,*,field_1380_a,*,*,*,ticksPerSecond,"The number of timer ticks per second of real time"
EntityRenderer,*,field_1381_o,*,*,*,field_1381_o,""
EntityRenderer,*,field_1382_n,*,*,*,field_1382_n,""
EntityRenderer,*,field_1383_m,*,*,*,random,""
EntityRenderer,*,field_1384_l,*,*,*,prevFrameTime,"Previous frame time in milliseconds"
EntityRenderer,*,field_1385_k,*,*,*,field_1385_k,""
